subj_id,inclusion,block,trial,task,alpha,angle_sigma,orientation,stimulus,response,accuracy,response_time,confidence,increase_presses,decrease_presses,BOLD_rTPJ,BOLD_pMFC,BOLD_FPm,BOLD_FPl,BOLD_preSMA,BOLD_vmPFC
01LeEm,0,1,140,Detection,0.0726386855078125,7.01486765864282,-0.564974541619855,1,1,1,0.883646299999782,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,141,Detection,0.0726386855078125,7.01486765864282,-0.369798256434647,1,1,1,0.967181800000617,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,142,Detection,0.0726386855078125,7.01486765864282,1.96011195775935,1,1,1,0.849892600000203,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,143,Detection,0,7.01486765864282,-0.225284248414768,0,0,1,0.916301299999759,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,144,Detection,0,7.01486765864282,0.28817986872823,0,1,0,0.798199299999396,5,1,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,145,Detection,0.0726386855078125,7.01486765864282,2.65018293096109,1,1,1,0.949298900000031,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,146,Detection,0,7.01486765864282,-1.14634234131777,0,0,1,0.966920299999401,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,147,Detection,0.0726386855078125,7.01486765864282,0.555904774274988,1,1,1,0.766829399999551,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,148,Detection,0,7.01486765864282,1.34761051912961,0,0,1,1.05014480000045,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,149,Detection,0.0726386855078125,7.01486765864282,-0.597711104866941,1,1,1,0.88383739999972,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,150,Detection,0,7.01486765864282,0.0645730374164674,0,0,1,0.850088099999994,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,151,Detection,0.0726386855078125,7.01486765864282,-1.08572617346316,1,1,1,0.916640600000392,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,152,Detection,0,7.01486765864282,0.384570791045504,0,0,1,0.782593800000541,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,253,Detection,0,7.01486765864282,-1.86210077381211,0,0,1,1.21660470000006,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,254,Detection,0.0690067512324219,7.01486765864282,-0.357228163603596,1,0,0,1.21838030000072,4,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,255,Detection,0.0690067512324219,7.01486765864282,0.0039029198481565,1,1,1,0.817089000000124,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,256,Detection,0,7.01486765864282,-1.30994093036016,0,0,1,1.10019450000073,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,257,Detection,0,7.01486765864282,-0.443355176458098,0,0,1,1.23201489999974,5,2,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,258,Detection,0.0690067512324219,7.01486765864282,0.679556433317531,1,1,1,0.783861699999761,6,6,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,259,Detection,0.0690067512324219,7.01486765864282,-1.52195113241552,1,0,0,1.43437949999952,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,260,Detection,0.0690067512324219,7.01486765864282,-0.104698649884016,1,1,1,0.916791300000114,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,261,Detection,0.0690067512324219,7.01486765864282,1.11768379601344,1,1,1,0.917527999999947,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,262,Detection,0,7.01486765864282,1.57529984642843,0,0,1,1.03125799999998,5,5,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,263,Detection,0,7.01486765864282,-0.226505223996823,0,0,1,0.883019500000046,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,264,Detection,0.0690067512324219,7.01486765864282,-1.09326619923502,1,1,1,0.984450799999649,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,265,Detection,0.0690067512324219,7.01486765864282,1.01324125857588,1,1,1,0.700527300000431,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,266,Detection,0,7.01486765864282,0.53911995044385,0,0,1,1.18291849999969,5,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,267,Detection,0,7.01486765864282,-0.599517613771341,0,0,1,0.947480900000301,6,6,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,268,Detection,0,7.01486765864282,-0.124023519503314,0,1,0,0.832259800000429,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,269,Detection,0.0690067512324219,7.01486765864282,0.0798904871674852,1,1,1,0.831966900000225,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,270,Detection,0,7.01486765864282,0.839985382909038,0,0,1,0.78134720000071,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,271,Detection,0,7.01486765864282,-1.80964764158476,0,0,1,0.867294499999844,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,272,Detection,0,7.01486765864282,0.705708460593508,0,0,1,0.832891000000018,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,273,Detection,0.0690067512324219,7.01486765864282,1.0707457973348,1,1,1,1.05056890000014,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,274,Detection,0.0690067512324219,7.01486765864282,0.303435762775608,1,1,1,0.800099899999623,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,275,Detection,0.0690067512324219,7.01486765864282,-0.0852667727596649,1,1,1,0.799984199999926,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,276,Detection,0,7.01486765864282,0.740951469283928,0,0,1,1.01629800000046,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,277,Detection,0.0690067512324219,7.01486765864282,-0.0972796968654522,1,1,1,0.850529899999856,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,278,Detection,0,7.01486765864282,-0.490515117328891,0,0,1,0.818973200000073,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,301,Detection,0.0655564136708008,6.5,-0.0995686885480132,1,1,1,0.907081100000141,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,302,Detection,0.0655564136708008,6.5,-1.37264569267,1,1,1,0.801833299999998,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,303,Detection,0.0655564136708008,6.5,-0.483285258735557,1,1,1,0.9168695999997,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
